class1	class2	scaledPatristicDistance
29	18	0.139272
29	19	0.1385183
29	20	0.138534
29	21	0.1515622
29	22	0.1515907
29	23	0.1373355
29	24	0.1373355
29	25	0.1430707
29	26	0.1430707
29	27	0.1531794
29	28	0.1531794
30	0	0.1367873
30	1	0.1368031
30	2	0.1367519
30	3	0.1367677
30	4	0.1507162
30	5	0.1507319
30	6	0.1289476
30	7	0.1289476
30	8	0.1281429
30	9	0.1281586
30	10	0.1282771
30	11	0.1293424
30	12	0.1358732
30	13	0.1331912
30	14	0.1331754
30	15	0.1282002
30	16	0.1282159
30	17	0.1531794
30	18	0.1512353
30	19	0.1512511
30	20	0.1353206
30	21	0.1334494
30	22	0.1334494
30	23	0.1353363
30	24	0.1397747
30	25	0.1585024
30	26	0.1289918
30	27	0.129017
30	28	0.1299923
30	29	0.1320921
31	0	0.1320763
31	1	0.1336894
31	2	0.1336894
31	3	0.1328654
31	4	0.1316319
31	5	0.1316319
31	6	0.1338461
31	7	0.1364843
31	8	0.1309751
31	9	0.1309751
31	10	0.1451877
31	11	0.1451877
31	12	0.1585024
31	13	0.1488012
31	14	0.1291014
31	15	0.1291014
31	16	0.1291278
31	17	0.1300504
31	18	0.1364527
31	19	0.1429459
31	20	0.1344435
31	21	0.1344435
31	22	0.1369942
31	23	0.1488012
31	24	0.1570701
31	25	0.1570701
31	26	0.1570701
31	27	0.1451141
31	28	0.1380637
31	29	0.1380479
31	30	0.1469912
32	0	0.1343053
32	1	0.1342895
32	2	0.164622
32	3	0.164622
32	4	0.164622
32	5	0.164622
32	6	0.164622
32	7	0.164622
32	8	0.164622
32	9	0.164622
32	10	0.164622
32	11	0.164622
32	12	0.155991
32	13	0.1412355
32	14	0.1412355
32	15	0.1487291
32	16	0.1431424
32	17	0.1431266
32	18	0.1344049
32	19	0.1301732
32	20	0.1301732
32	21	0.1314106
32	22	0.1351617
32	23	0.1422656
32	24	0.1572478
32	25	0.1478371
32	26	0.1478371
32	27	0.1505239
32	28	0.1408501
32	29	0.1408501
32	30	0.1552718
32	31	0.1626056
33	0	0.163236
33	1	0.1287893
33	2	0.1287736
33	3	0.1341903
33	4	0.1349725
33	5	0.1307689
33	6	0.1307689
33	7	0.1278604
33	8	0.1278604
33	9	0.1626249
33	10	0.1761407
33	11	0.1356322
33	12	0.1356322
33	13	0.1360824
33	14	0.1375207
33	15	0.1480834
33	16	0.1723384
33	17	0.1338146
33	18	0.1325601
33	19	0.1319023
33	20	0.1319023
33	21	0.1333706
33	22	0.1333706
33	23	0.1337919
33	24	0.1375438
33	25	0.134602
33	26	0.134602
33	27	0.1385506
33	28	0.1441523
33	29	0.139468
33	30	0.139468
33	31	0.1415814
33	32	0.1368731
34	0	0.1349081
34	1	0.1349081
34	2	0.1363058
34	3	0.1395974
34	4	0.1363726
34	5	0.1363726
34	6	0.1403708
34	7	0.12778
34	8	0.12778
34	9	0.150232
34	10	0.1499551
34	11	0.1499393
34	12	0.1499886
34	13	0.1444296
34	14	0.1407825
34	15	0.1407825
34	16	0.1558818
34	17	0.1391361
34	18	0.1391361
34	19	0.1634465
34	20	0.1634465
34	21	0.1634465
34	22	0.1634465
34	23	0.1329039
34	24	0.1329197
34	25	0.1348519
34	26	0.1348519
34	27	0.1327308
34	28	0.1303346
34	29	0.1303188
34	30	0.1305418
34	31	0.130866
34	32	0.1313364
34	33	0.1332579
35	0	0.1332579
35	1	0.1361966
35	2	0.1340843
35	3	0.1340843
35	4	0.1354552
35	5	0.1354394
35	6	0.1367096
35	7	0.152181
35	8	0.1274474
35	9	0.1274474
35	10	0.129905
35	11	0.136282
35	12	0.1413676
35	13	0.1418579
35	14	0.1420956
35	15	0.1370398
35	16	0.1370398
35	17	0.1351377
35	18	0.1351377
35	19	0.1352075
35	20	0.1358017
35	21	0.1357159
35	22	0.1298885
35	23	0.1275906
35	24	0.127567
35	25	0.127567
35	26	0.1286886
35	27	0.1283196
35	28	0.1283196
35	29	0.1297723
35	30	0.1297881
35	31	0.1311983
35	32	0.1460013
35	33	0.1491927
35	34	0.1491927
36	0	0.1491927
36	1	0.1491927
36	2	0.1491927
36	3	0.1491927
36	4	0.1311745
36	5	0.1287292
36	6	0.1287292
36	7	0.1301123
36	8	0.1284138
36	9	0.1284138
36	10	0.1284378
36	11	0.1321178
36	12	0.1335886
36	13	0.1335886
36	14	0.1371869
36	15	0.1335063
36	16	0.1335063
36	17	0.1335386
36	18	0.1335386
36	19	0.1279854
36	20	0.1279854
36	21	0.1315887
36	22	0.1316044
36	23	0.1365741
36	24	0.1365741
36	25	0.1416693
36	26	0.1416693
36	27	0.1319486
36	28	0.1322842
36	29	0.1322842
36	30	0.1461628
36	31	0.1461628
36	32	0.1461628
36	33	0.1461628
36	34	0.1461628
36	35	0.1461628
37	0	0.1461628
37	1	0.1461628
37	2	0.1461628
37	3	0.1354748
37	4	0.135091
37	5	0.1350473
37	6	0.1350473
37	7	0.1359063
37	8	0.1381818
37	9	0.1424494
37	10	0.148572
37	11	0.148572
37	12	0.163119
37	13	0.1566511
37	14	0.1364064
37	15	0.1364064
37	16	0.1343868
37	17	0.1307153
37	18	0.1302375
37	19	0.1302375
37	20	0.1304369
37	21	0.1318513
37	22	0.1358449
37	23	0.1358449
37	24	0.1317477
37	25	0.1317477
37	26	0.1324276
37	27	0.1324276
37	28	0.136655
37	29	0.1371265
37	30	0.1371423
37	31	0.1479842
37	32	0.1542504
37	33	0.1424173
37	34	0.1424173
37	35	0.1459175
37	36	0.1501522
38	0	0.1501522
38	1	0.1502047
38	2	0.1276618
38	3	0.127646
38	4	0.1566511
38	5	0.1650463
38	6	0.1650463
38	7	0.133052
38	8	0.1330362
38	9	0.1359799
38	10	0.1359799
38	11	0.1520429
38	12	0.1613677
38	13	0.1490548
38	14	0.1490706
38	15	0.1386863
38	16	0.136901
38	17	0.136901
38	18	0.1458809
38	19	0.183701
38	20	0.2078626
38	21	0.1776923
38	22	0.1776923
38	23	0.2302155
38	24	0.2302155
38	25	0.1821845
38	26	0.1821845
38	27	0.1815905
38	28	0.1815747
38	29	0.1748704
38	30	0.1748862
38	31	0.1848028
38	32	0.1819347
38	33	0.1733725
38	34	0.1727222
38	35	0.1727065
38	36	0.173456
38	37	0.1734718
39	0	0.175
39	1	0.174811
39	2	0.174811
39	3	0.177364
39	4	0.1753314
39	5	0.1753314
39	6	0.1780413
39	7	0.1727897
39	8	0.1727897
39	9	0.178874
39	10	0.1803614
39	11	0.1812465
39	12	0.1812465
39	13	0.1787006
39	14	0.1787006
39	15	0.1986063
39	16	0.1765695
39	17	0.1746847
39	18	0.1742359
39	19	0.1739577
39	20	0.1739577
39	21	0.1796793
39	22	0.1796793
39	23	0.2344855
39	24	0.1749752
39	25	0.1749752
39	26	0.3148482
39	27	0.273795
39	28	0.2003375
39	29	0.2003375
